;;;;;;
DT0B-ULTRA;Smartbox Ultra met dali, 16x relais en 1x up/down;0 st.;1.650 €;0 €;;
;;;;;;
DT0B-DAL12;Interface SIM dali 12 adressen (4 groepen);0 st.;250 €;0 €;;
;dali input;0 st.;;;;
DT0B-DAL64;Interface SIM dali 64 adressen (16 groepen);0 st.;500 €;0 €;;
;;;;;;
DT00-DAL;Dali voeding ;0 st.;99 €;0 €;;
;;;;;;
DT07-DAL;Dali 6 input print;0 st.;89 €;0 €;;
;;;;;;
DT0B-01;Smartbox + met 4x dimmer, 8x relais en 1x up/down;0 st.;1.300 €;0 €;;
DT0B-LITE;Smartbox Lite  8x relais en 1x up/down;0 st.;1.000 €;0 €;;
;;;;;;
DT0B-LE;Plugin dimmer LE faseaansnijding;0 st.;85 €;0 €;;
;;;;;;
DT0B-DC;Plugin dimmer 0-1/10 v;0 st.;90 €;0 €;;
;;;;;;
DT0B-PW;Plugin dimmer LED pwm;0 st.;90 €;0 €;;
;;;;;;
DT0B-TE;Plugin dimmer TE faseafsnijding;0 st.;110 €;0 €;;
;;;;;;
DT0B-R;Plugin relais;0 st.;65 €;0 €;;
;;;;;;
DT0B-SSR;Plugin solidstate relais;0 st.;65 €;0 €;;
;;;;;;
DT0B-MINI;Smartbox Mini;0 st.;650 €;0 €;;
;;;;;;
;;0 st.;;;;
0;Programmatie domotica (+/-);0 st.;79 €;0 €;;
;Totaal Smartbox;;;0 €;;
;;;;;;
;DOMOTICA;;;;;
DT00-24;24 VAC voedingsmodule;;380 €;;;
;;;;;;
DT02-06;6 kan. 1/10V-0/10V analoge module + relais;0 st.;700 €;0 €;;
;0 gedimde lichtkringen  (0 st. over);0 st.;0 €;;;
;;;;;;
DT03-06;6 kan. 16 A relais NO contact module;;480 €;;;
DT03-12;12 kan. 10 A relais NO contact module;;650 €;;;
;;4 st.;;;;
;;;;;;
DT05-06;6 kan. 500W leading-edge fase dimmer module;0 st.;700 €;0 €;;
DT05-06TE;6 kan. 500W trailing-edge fase dimmer module;1 st.;750 €;750 €;;
;6 st. gedimde lichtkringen;0 st.;0 €;;;
;;0 st.;;;;
DT06-06;6 kan. 10A LED PWM dimmer module;0 st.;650 €;0 €;;
;0 st. gedimde lichtkringen ;;;;;
;;;;;;
DT07-16;16 kan. NO/NC + 2 kan. temperatuur input module;0 st.;600 €;0 €;;
;0 st. druktoetsen of bewegingssensoren kunnen aangesloten worden;;;;;
;;;;;;
0;Opvolging en werfvergaderingen projectleider;;79 €;0 €;;
0;Programmatie domotica (+/-);;79 €;0 €;;
;Totaal basis domotica;;;750 €;;
;;0 st.;;;;
;Interfaces Dali / DMX;;;;;
DT13-DAL;Dali interface 64 kanalen (50 aan te raden) 16 groepen;0 st.;750 €;0 €;;
;;;;;;
DT00-DAL;Dali voeding ;0 st.;99 €;0 €;;
;;;;;;
DT13-DMX;Dmx interface 64 kanalen;0 st.;750 €;0 €;;
;;;;;;
DMX-PWM;Dmx naar pwm omvormer 24 kanalen;0 st.;599 €;0 €;;
;;;;;;
;Schakelbare stopcontacten;;;;;
DT03-06;6 kan. 16 A relais NO contact module;;480 €;;;
DT03-12;12 kan. 10 A relais NO contact module;;650 €;;;
;8 Schakelbare stopcontacten;;;;;
DT05-06;6 kan. 500W leading-edge fase dimmer module;0 st.;700 €;0 €;;
;0 st. Dimbare stopcontacten;;0 €;;;
;;;;;;
;Sturing voor rolluiken/gordijnen;;;;;
DT04-P3;3 kan. 10 A relaismodule met polariteitswissel;0 st.;480 €;0 €;;
;0 st. rolluiken en/of liften kunnen gestuurd worden ;;;;;
;;;;;;
DT04-03;3 kan. 16 A relais NO up / down module;0 st.;480 €;0 €;;
DT04-06;6 kan. 10 A relais NO up / down module;1 st.;650 €;650 €;;
;6 st. rolluiken en/of liften kunnen gestuurd worden ;6 st.;;;;
;;;;;;
;Sturing voor temperatuur;;;;;
DT30-xx;Temperatuursensor in…………;0 st.;100 €;0 €;;
DT30-EX;Meerprijs voor ingebouwde temperatuursensor in schakelaar;2 st.;50 €;100 €;;
DT13-ANA;8 kan temperatuur input module;1 st.;550 €;0 €;;
DT03-06;6 kan. 16 A relais NO contact module;;480 €;;;
DT03-12;12 kan. 10 A relais NO contact module;;650 €;;;
;2 Temperatuurzone's;0 st.;;;;
DT13-MOD;Modbus interface;0 st.;900 €;0 €;;
;;2 st.;;;;
;;;;;;
;;;;;;
0;Programmatie domotica (+/-);;79 €;0 €;;
;Totaal uitbreiding domotica;;;750 €;;
;Touchscreens;;;;;
;;;;;;
;"TFT Touchscreen 10""";1 st.;;0 €;;
;Kies materiaal en kleur;-1 st.;;;;
;;;;;;
DT0C-10Ag;"TFT 10"" in aluminium";0 st.;1.800 €;0 €;;
DT0C-10Ab;"TFT 10"" in aluminium zwart";0 st.;1.800 €;0 €;;
DT0C-10ALw;"TFT 10"" in aluminium lak wit";0 st.;1.800 €;0 €;;
DT0C-10Br;"TFT 10"" in Brons";0 st.;1.950 €;0 €;;
DT0C-10Cw;"TFT 10"" in Corian wit";0 st.;1.725 €;0 €;;
;;;;;;
;"TFT aanraakscherm 7"" ";0 st.;;0 €;;
;;0 st.;;;;
;;;;;;
DT0C-7Ag;"TFT 7"" aluminium";0 st.;1.000 €;0 €;;
DT0C-7Ab;"TFT 7"" aluminium zwart";0 st.;1.000 €;0 €;;
DT0C-7ALw;"TFT 7"" aluminium wit";0 st.;1.000 €;0 €;;
DT0C-7Br;"TFT 7"" Brons";0 st.;1.200 €;0 €;;
;;;;;;
DT0C-W10;Inbouwdoos Touchscreen 10” ;1 st.;90 €;90 €;;
DT0C-W7;"Inbouwdoos Touchscreen  7""";0 st.;35 €;0 €;;
DT0C-W10T;"Xillo trimless kit voor 10"" touchscreen";0 st.;100 €;0 €;;
;;;;;;
;Programmatie domotica (+/-);4 st.;79 €;316 €;;
;;;;;;
;Totaal basis domotica;;;;;
;Totaal uitbreiding domotica;;;;;
;Totaal Touchscreens;;;;;
;;;;;;
;Totaal domotica;;0 €;;;
;;;;;;
;Duotecno schakelaars;;;;;
;;;;;;
;Duotecno inputs enkelvoudig;;;;;
;Hendels/Buttons enkelvoudig;0 st.;;0 €;;
;;0 st.;;;;
;Duotecno inputs tweevoudig;;;;;
;Hendels/Buttons tweevoudig;0 st.;;0 €;;
;;0 st.;;;;
;Duotecno inputs viervoudig;;;;;
;Touchbuttons/Hendels/Buttons viervoudig;4 st.;;0 €;;
;Kies materiaal en kleur;-4 st.;;;;
;druktoetsen of bewegingssensoren kunnen aangesloten worden;4 st.;;;;
;te voeden modules, schermen en aanraakschakelaars;-4 st.;;;;
;Touchbuttons viervoudig ;;;;;
;;;;;;
DTBS-4Ag;Aanraakschakelaar op bus 4 kan., 8 functies in alu grijs;0 st.;290 €;0 €;;
DTBS-4Ab;Aanraakschakelaar op bus 4 kan., 8 functies in alu zwart;0 st.;290 €;0 €;;
DTBS-4ALw;Aanraakschakelaar op bus 4 kan., 8 functies in alu wit;0 st.;320 €;0 €;;
DTBS-4Gw;Aanraakschakelaar op bus 4 kan., 8 functies in wit glas;0 st.;290 €;0 €;;
DTBS-4Gb;Aanraakschakelaar op bus 4 kan., 8 functies in zwart glas;0 st.;290 €;0 €;;
DTBS-4Br;Aanraakschakelaar op bus 4 kan., 8 functies in brons;0 st.;390 €;0 €;;
DTBS-4BrL;Aanraakschakelaar op bus 4 kan., 8 functies in brons light;0 st.;390 €;0 €;;
DTBS-4GM;Aanraakschakelaar op bus 4 kan., 8 functies in gun metal;0 st.;390 €;0 €;;
DTBS-4BG;Aanraakschakelaar op bus 4 kan., 8 functies in brushed gold;0 st.;390 €;0 €;;
DTBS-4Cw;Aanraakschakelaar op bus 4 kan., 8 functies in Corian wit;0 st.;290 €;0 €;;
DTBS-4CKw;Aanraakschakelaar op bus 4 kan., 8 functies in Corian wit kruis;0 st.;290 €;0 €;;
;;;;;;
DTBS-4INV;Aanraakschakelaar op bus 4 kanalen, 8 functies Invisible;0 st.;290 €;0 €;;
DTBS-4INT;Aanraakschakelaar op bus 4 kanalen, 8 functies Integrated;0 st.;250 €;0 €;;
;;;;;;
;Inbouwdoos voor trimless/invisible touchbutton;0 st.;135 €;0 €;;
;;;;;;
;Inbouwdoos voor integrated touchbutton;0 st.;210 €;0 €;;
;;;;;;
;;;;;;
DT0E-0S;Drukknopinterface 8 NO/NC contacten => CAN-bus;0 st.;150 €;0 €;;
;;;;;;
;Essence drukknop;;;;;
;;;;;;
DTBS-ES1b;1 drukknop op bus zwart;0 st.;120 €;0 €;;
DTBS-ES1w;1 drukknop op bus wit;0 st.;120 €;0 €;;
;;;;;;
DTBS-ES2b;2 drukknoppen op bus zwart;0 st.;125 €;0 €;;
DTBS-ES2w;2 drukknoppen op bus wit;0 st.;125 €;0 €;;
;;;;;;
DTBS-ES4b;4 drukknoppen op bus zwart;0 st.;130 €;0 €;;
DTBS-ES4w;4 drukknoppen op bus wit;0 st.;130 €;0 €;;
;;;;;;
;;;;;;
;Serenity button drukknop enkelvoudig;;;;;
;;;;;;
DTBS-B1Ab;Schakelaar op bus 1 drukknop alu zwart;0 st.;200 €;0 €;;
DTBS-B1Ag;Schakelaar op bus 1 drukknop alu grijs;0 st.;200 €;0 €;;
DTBS-B1Alw;Schakelaar op bus 1 drukknop alu lak wit;0 st.;230 €;0 €;;
DTBS-B1Br;Schakelaar op bus 1 drukknop brons;0 st.;300 €;0 €;;
DTBS-B1BrL;Schakelaar op bus 1 drukknop brons light;0 st.;300 €;0 €;;
DTBS-B1GM;Schakelaar op bus 1 drukknop gun metal;0 st.;300 €;0 €;;
DTBS-B1??;Schakelaar op bus 1 drukknop ???;0 st.;0 €;0 €;;
;Serenity button drukknop tweevoudig;;;;;
;;;;;;
DTBS-B2Ab;Schakelaar op bus 2 drukknoppen alu zwart;0 st.;240 €;0 €;;
DTBS-B2Ag;Schakelaar op bus 2 drukknoppen alu grijs;0 st.;240 €;0 €;;
DTBS-B2Alw;Schakelaar op bus 2 drukknoppen alu lak wit;0 st.;270 €;0 €;;
DTBS-B2Br;Schakelaar op bus 2 drukknoppen brons;0 st.;340 €;0 €;;
DTBS-B2BrL;Schakelaar op bus 2 drukknoppen brons light;0 st.;340 €;0 €;;
DTBS-B2GM;Schakelaar op bus 2 drukknoppen gun metal;0 st.;340 €;0 €;;
DTBS-B2??;Schakelaar op bus 2 drukknoppen ???;0 st.;0 €;0 €;;
;Serenity button drukknop viervoudig;;;;;
;;;;;;
DTBS-B4Ab;Schakelaar op bus 4 drukknoppen alu zwart;0 st.;280 €;0 €;;
DTBS-B4Ag;Schakelaar op bus 4 drukknoppen alu grijs;0 st.;280 €;0 €;;
DTBS-B4Alw;Schakelaar op bus 4 drukknoppen alu lak wit;0 st.;310 €;0 €;;
DTBS-B4Br;Schakelaar op bus 4 drukknoppen brons;0 st.;380 €;0 €;;
DTBS-B4BrL;Schakelaar op bus 4 drukknoppen brons light;0 st.;380 €;0 €;;
